baseline_id,stage,count,mean,median,stddev,p50,p95,p99,ci95_low,ci95_high,minimum,maximum
B2,reconcile,30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,risk,30000,29.018333333333334,25.0,42.257790460269476,25.0,48.0,90.0,28.540130911008102,29.496535755658567,13.0,6668.0
B2,total,30000,182361.43046666667,139135.5,113008.21881279493,139128.0,394632.0,474717.0,181082.5939872784,183640.26694605494,56839.0,1930374.0
B2,validate,30000,16956.5853,15517.0,7104.882889686016,15517.0,26311.0,39336.0,16876.184214870398,17036.9863851296,11508.0,416148.0
B3,audit,30000,40.13373333333333,37.0,97.00626331617102,37.0,57.0,117.0,39.035980005645115,41.23148666102155,13.0,13241.0
B3,authorize,30000,34.87283333333333,28.0,320.6266429615264,28.0,46.0,108.0,31.244521591138394,38.50114507552827,14.0,45611.0
B3,canonicalize,30000,11239.8141,10577.0,4284.953841368105,10577.0,15231.0,22184.0,11191.324217207368,11288.303982792631,8082.0,323195.0
B3,commit,30000,7411.7219,6941.0,5040.090734604635,6941.0,9221.0,15442.0,7354.686651072517,7468.757148927482,5462.0,443356.0
B3,credential,30000,141805.9557,98879.0,110118.30711803626,98878.0,350135.0,410025.0,140559.8223685446,143052.08903145537,27115.0,1488792.0
B3,digest,30000,695.7306,650.5,678.4386826077274,650.0,823.0,1317.0,688.0531748935647,703.4080251064353,557.0,65388.0
B3,identity,30000,3382.8309,3148.0,1875.67831755436,3148.0,4293.0,6061.0,3361.6051353495573,3404.0566646504426,2611.0,127374.0
B3,parse,30000,7976.1611,7193.0,4441.924305508217,7193.0,12417.0,20567.0,7925.894890159321,8026.427309840679,5292.0,228957.0
B3,prepare,30000,11697.964033333334,10778.5,4966.767777285161,10778.0,17621.0,26079.0,11641.758530008266,11754.1695366584,7987.0,380559.0
B3,reconcile,30000,30.101766666666666,27.0,101.83024856853524,27.0,43.0,60.0,28.94942360752738,31.254109725805954,13.0,15476.0
B3,risk,30000,31.101966666666666,29.0,24.275205711163387,29.0,50.0,93.0,30.827260818417553,31.37667251491578,12.0,2373.0
B3,total,30000,205463.64336666666,162884.5,114181.27738325378,162879.0,418607.0,503520.0,204171.532188251,206755.7545450823,73925.0,1587872.0
B3,validate,30000,17604.283966666666,16209.0,7380.251280809834,16209.0,26737.0,39832.0,17520.766726380043,17687.80120695329,11879.0,460548.0
B4,audit,30000,192.25216666666665,237.0,182.7308016276977,237.0,322.0,429.0,190.1843275529782,194.3200057803551,18.0,14647.0
B4,authorize,30000,31.623933333333333,28.0,68.65930316079465,28.0,46.0,113.0,30.846963105381548,32.40090356128512,14.0,7594.0
B4,canonicalize,30000,11179.029633333334,10473.0,5971.358687069539,10473.0,15247.0,22428.0,11111.455863914078,11246.60340275259,8193.0,768755.0
B4,commit,30000,7307.9718,6886.0,3563.609789295461,6886.0,9128.0,15733.0,7267.644872943433,7348.298727056567,5442.0,233658.0
B4,credential,30000,140974.60453333333,97925.5,109425.92473414456,97924.0,346910.0,413206.0,139736.3064182853,142212.90264838136,26891.0,1265601.0
B4,digest,30000,683.0439333333334,645.0,674.2390154919317,645.0,808.0,1283.0,675.4140329783311,690.6738336883357,558.0,85068.0
B4,identity,30000,3351.5410333333334,3123.0,2373.860030926665,3123.0,4232.0,5880.0,3324.6776880262123,3378.4043786404545,2605.0,232485.0
B4,parse,30000,7908.4718,7103.0,5143.829444365017,7103.0,12303.0,20847.0,7850.262611267431,7966.68098873257,5189.0,399818.0
B4,prepare,30000,11579.8294,10685.0,5143.6643001052,10685.0,17407.0,25349.0,11521.622080091716,11638.036719908285,8110.0,422529.0
B4,reconcile,30000,29.117,26.0,50.864887878515596,26.0,42.0,57.0,28.541396961367955,29.692603038632047,13.0,8597.0
B4,risk,30000,31.3984,28.0,85.84344149276389,28.0,49.0,95.0,30.426968668275038,32.36983133172496,12.0,12981.0
B4,total,30000,204199.57276666668,160528.0,113993.55280802785,160520.0,416363.0,503660.0,202909.58593847437,205489.559594859,73161.0,1370656.0
B4,validate,30000,17463.402766666666,16070.0,6411.948078357388,16070.0,26792.0,39395.0,17390.8431493867,17535.962383946633,12039.0,308875.0
B5,audit,30000,193.2546,235.0,401.9418513755892,235.0,320.0,432.0,188.7060998330921,197.8031001669079,16.0,62774.0
B5,authorize,30000,31.2864,28.0,82.6383640428608,28.0,45.0,106.0,30.35123833082932,32.221561669170676,14.0,11517.0
